name annotation description region distance subregion insideDistance exonnumber nexons UTR strand geneL codingL Geneid subjectHits CpG pval p.adjusted
RABL2A "NM_001306158 NM_001306159 NM_001306160 NM_001306161 NM_001354405 NM_001354406 NM_001354407 NM_001354408 NM_001354409 NM_001354410 NM_001354412 NM_001354413 NM_001354414 NM_001354416 NM_001354417 NM_001354418 NM_001354419 NM_001354421 NM_001354423 NM_001354424 NM_001354425 NM_001354426 NM_001354427 NM_001354428 NM_007082 NM_013412 NP_001293087 NP_001293088 NP_001293089 NP_001293090 NP_001341334 NP_001341335 NP_001341336 NP_001341337 NP_001341338 NP_001341339 NP_001341341 NP_001341342 NP_001341343 NP_001341345 NP_001341346 NP_001341347 NP_001341348 NP_001341350 NP_001341352 NP_001341353 NP_001341354 NP_001341355 NP_001341356 NP_001341357 NP_009013 NP_038198 NR_148879 NR_148880 NR_148881 NR_148882 XM_006712208 XM_006712209 XM_011510509 XM_017003203 XM_017003204 XM_017003205 XM_017003207 XM_017003210 XM_017003211 XM_017003212 XM_017003213 XM_017003214 XM_017003215 XM_017003216 XM_017003220 XM_017003222 XM_017003223 XM_017003226 XM_017003230 XM_017003234 XM_024452573 XM_024452575 XM_024452576 XP_006712271 XP_006712272 XP_011508811 XP_016858692 XP_016858693 XP_016858694 XP_016858696 XP_016858699 XP_016858700 XP_016858701 XP_016858702 XP_016858703 XP_016858704 XP_016858705 XP_016858709 XP_016858711 XP_016858712 XP_016858715 XP_016858719 XP_016858723 XP_024308341 XP_024308343 XP_024308344 XR_002959036" downstream downstream 41588 NA NA NA 10 NA + 16034 NA 11159 7154 cg12978357 8.70506004351312e-5 0.7965345251511496
CD40 "NM_001250 NM_001302753 NM_001322421 NM_001322422 NM_001362758 NM_152854 NP_001241 NP_001289682 NP_001309350 NP_001309351 NP_001349687 NP_690593 NR_126502 NR_136327 XM_005260619 XM_011529109 XM_017028135 XM_017028136 XP_005260676 XP_011527411 XP_016883624 XP_016883625" upstream upstream 9045 NA NA NA 7 NA + 11478 NA 958 71744 cg06282353 8.816891005338654e-5 0.7965345251511496
DISC1 "NM_001012957 NM_001012958 NM_001012959 NM_001039383 NM_001164537 NM_001164538 NM_001164539 NM_001164540 NM_001164541 NM_001164542 NM_001164544 NM_001164545 NM_001164546 NM_001164547 NM_001164548 NM_001164549 NM_001164550 NM_001164551 NM_001164552 NM_001164553 NM_001164554 NM_001164555 NM_001164556 NM_018662 NP_001012975 NP_001012976 NP_001012977 NP_001158009 NP_001158010 NP_001158011 NP_001158012 NP_001158013 NP_001158014 NP_001158016 NP_001158017 NP_001158018 NP_001158019 NP_001158020 NP_001158021 NP_001158022 NP_001158023 NP_001158024 NP_001158025 NP_001158026 NP_001158027 NP_001158028 NP_061132" "inside intron" inside 299010 "inside intron" 32997 8 11 "inside transcription region" + 414458 NA 27185 25280 cg25215021 8.925036255361658e-5 0.7965345251511496
LRP5L "NM_001135772 NM_182492 NP_001129244 NP_872298 XM_006724372 XM_017029083 XM_017029084 XM_017029085 XM_017029086 XM_017029087 XM_017029088 XP_006724435 XP_016884572 XP_016884573 XP_016884574 XP_016884575 XP_016884576 XP_016884577" "inside intron" inside 10231 "inside intron" 4466 2 6 "5' UTR" - 29925 NA 91355 69556 cg10299917 8.932268191030178e-5 0.7965345251511496
SIRT1 "NM_001142498 NM_001314049 NM_012238 NP_001135970 NP_001300978 NP_036370" upstream upstream 10237 NA NA NA 9 NA + 33720 NA 23411 20869 cg09765074 9.287622423136101e-5 0.8119393913437756
ITPK1 "NM_001142593 NM_001142594 NM_001363707 NM_014216 NP_001136065 NP_001136066 NP_001350636 NP_055031 XM_017021262 XM_017021263 XM_017021264 XP_016876751 XP_016876752 XP_016876753" upstream upstream 22200 NA NA NA 11 NA - 176195 NA 3705 31804 cg21166544 9.305127271121727e-5 0.8119393913437756
RAD54L2 "NM_001322253 NM_001322256 NM_001322257 NM_015106 NP_001309182 NP_001309185 NP_001309186 NP_055921" "inside exon" inside 32318 "inside exon" 0 17 17 "inside transcription region" + 33324 NA 23132 19752 cg14878327 9.437456797784072e-5 0.8147256055050417
SNX29 "NM_001009607 NM_001080530 NM_032167 NP_115543 XM_005255682 XM_005255683 XM_011522738 XM_011522741 XM_011522743 XM_011522744 XM_017023871 XM_017023872 XM_017023873 XM_017023874 XM_017023876 XM_017023877 XM_017023878 XM_024450491 XP_005255739 XP_005255740 XP_011521040 XP_011521043 XP_011521045 XP_011521046 XP_016879360 XP_016879361 XP_016879362 XP_016879363 XP_016879365 XP_016879366 XP_016879367 XP_024306259 XR_001752024" "inside exon" inside 71733 "inside exon" 0 7 21 "inside transcription region" + 597544 NA 92017 69966 cg10475689 9.547514400657129e-5 0.8155506901071636
SEC24B-AS1 NR_039978 downstream downstream 19394 NA NA NA 3 NA - 3854 NA 100533182 2684 cg04318144 9.927389340756986e-5 0.8310774824082733
ATG101 "NM_001098673 NM_021934 NP_001092143 NP_068753 XM_024449120 XP_024304888" downstream downstream 25640 NA NA NA 4 NA + 7521 NA 60673 50962 cg12514547 1.0119721512924843e-4 0.8310774824082733
GCSHP3 NR_033248 promoter promoter 93 NA NA NA 1 NA - 999 NA 100329109 1458 cg23877512 1.0124425014009404e-4 0.8310774824082733
MRTFA "NM_001282660 NM_001282661 NM_001282662 NM_001318139 NM_020831 NP_001269589 NP_001269590 NP_001269591 NP_001305068 NP_065882" "inside intron" inside 130948 "inside intron" -42446 3 3 "inside transcription region" - 173465 NA 57591 48975 cg27199414 1.0153000282011403e-4 0.8310774824082733
NOTCH4 "NM_004557 NP_004548 NR_134949 NR_134950" "inside intron" inside 986 "inside intron" -181 3 3 "inside transcription region" - 1646 NA 4855 37741 cg26950898 1.0415043041626236e-4 0.8310774824082733
NT5E "NM_001204813 NM_002526 NP_001191742 NP_002517" "inside intron" inside 27049 "inside intron" -5207 3 8 "inside transcription region" + 46207 NA 4907 37916 cg04227758 1.0512873966568326e-4 0.8310774824082733
LOC155060 "NR_015357 NR_036573" downstream downstream 36775 NA NA NA 11 NA + 12031 NA 155060 13658 cg19564603 1.064713134522208e-4 0.8310774824082733
PRR5 "NM_001017528 NM_001017529 NM_001017530 NM_001198721 NM_015366 NM_181333 NP_001017528 NP_001017529 NP_001017530 NP_001185650 NP_056181 NP_851850" "inside intron" inside 4374 "inside intron" -3963 1 8 "inside transcription region" + 35483 NA 55615 45270 cg00279778 1.070798595194048e-4 0.8310774824082733
EEF2K "NM_013302 NP_037434 XM_017023193 XM_017023194 XP_016878682 XP_016878683 XR_001751897 XR_950786 XR_950787" "inside exon" inside 80149 "inside exon" 0 18 18 3'UTR + 82474 NA 29904 28243 cg24078669 1.0729265157695949e-4 0.8310774824082733
PPIE "NM_001195007 NM_001319293 NM_006112 NM_203456 NM_203457 NP_001181936 NP_001306222 NP_006103 NP_982281 NR_036543 NR_036544 XM_006710289 XM_006710290 XM_011540501 XM_017000051 XM_017000052 XM_024450252 XM_024450264 XM_024450277 XP_006710352 XP_006710353 XP_011538803 XP_016855540 XP_016855541 XP_024306020 XP_024306032 XP_024306045 XR_946519 XR_946520 XR_946521" "inside exon" inside 10877 "inside exon" 0 6 6 3'UTR + 14264 NA 10450 4848 cg13171016 1.0781326478034498e-4 0.8310774824082733
EIF6 "NM_001267810 NM_002212 NM_181466 NM_181467 NM_181468 NM_181469 NP_001254739 NP_002203 NP_852131 NP_852133 NR_052022 NR_052023 NR_052024" downstream downstream 6213 NA NA NA 7 NA - 5910 NA 3692 31755 cg01694529 1.0855832606517004e-4 0.8310774824082733
MN1 "NM_002430 NP_002421" "inside intron" inside 6259 "inside intron" 1523 1 2 "inside transcription region" - 53221 NA 4330 35764 cg06004017 1.1099648795327257e-4 0.8398228073728061
TBC1D3P2 NR_027486 "inside exon" inside 3672 "inside exon" -0 5 10 "inside transcription region" - 7510 NA 440452 36149 cg24176680 1.1177049582283382e-4 0.8398228073728061
ABCA11P "NM_024903 NR_002451" downstream downstream 65693 NA NA NA 4 NA - 48774 NA 79963 61782 cg20962915 1.1348767682828381e-4 0.8414435023519397
CFL1 "NM_005507 NP_005498" "inside exon" inside 3695 "inside exon" -0 4 5 "inside transcription region" - 4601 NA 1072 5765 cg03252697 1.140600095364013e-4 0.8414435023519397
CDH5 "NM_001114117 NM_001795 NP_001786 XM_011522801 XM_024450133 XP_011521103 XP_024305901" "inside intron" inside 12573 "inside intron" 118 2 12 "5' UTR" + 38164 NA 1003 1273 cg08066417 1.1593808184271568e-4 0.8467865495321077
ANP32AP1 NR_003144 upstream upstream 115294 NA NA NA 1 NA + 737 NA 723972 57262 cg14819942 1.1821239453537576e-4 0.8467865495321077
AEBP2 "NM_001114176 NM_001267043 NM_001363736 NM_153207 NP_001107648 NP_001253972 NP_001350665 NP_694939 XM_011520560 XM_017018806 XP_011518862 XP_016874295" upstream upstream 26620 NA NA NA 9 NA + 82565 NA 121536 9247 cg05909891 1.2045664069277348e-4 0.8467865495321077
STAG1 "NM_005862 NP_005853 XM_011512329 XM_011512331 XM_017005523 XM_017005524 XM_017005525 XP_011510631 XP_011510633 XP_016861012 XP_016861013 XP_016861014 XR_001739978" "inside intron" inside 16449 "inside intron" 16240 1 8 "5' UTR" - 234360 NA 10274 4253 cg01418090 1.2112254212635086e-4 0.8467865495321077
DYDC2 "NM_001270041 NM_001270042 NM_032372 NP_001256970 NP_001256971 NP_115748 NR_070308 NR_070309 XM_011540267 XM_011540268 XM_011540270 XP_011538569 XP_011538570 XP_011538572" "inside exon" inside 10681 "inside exon" 0 4 4 3'UTR + 11305 NA 84332 65341 cg11700985 1.2208077618982026e-4 0.8467865495321077
PFN1P2 NR_003242 "inside exon" inside 76 "inside exon" -0 1 1 "inside transcription region" - 1912 NA 767846 59033 cg11527367 1.2273108679374713e-4 0.8467865495321077
METTL14 "NM_020961 NP_066012 XM_005263166 XM_011532162 XP_005263223 XP_011530464 XR_938769" upstream upstream 49968 NA NA NA 11 NA + 25503 NA 57721 49335 cg25428156 1.234424942200018e-4 0.8467865495321077
RAB11FIP5 "NM_001371272 NM_015470 NP_001358201 NP_056285" promoter promoter 1452 NA NA NA 5 NA - 39636 NA 26056 23693 cg04200362 1.2383209296344599e-4 0.8467865495321077
PSG6 "NM_001031850 NM_002782 NP_001027020 NP_002773" "inside intron" inside 3246 "inside intron" 2967 1 4 "inside transcription region" - 296193 NA 5675 47193 cg16459346 1.2451264358426606e-4 0.8467865495321077
RGS6 "NM_001204416 NM_001204417 NM_001204418 NM_001204419 NM_001204420 NM_001204421 NM_001204422 NM_001204423 NM_001204424 NM_001370270 NM_001370271 NM_001370272 NM_001370273 NM_001370274 NM_001370275 NM_001370276 NM_001370277 NM_001370278 NM_001370279 NM_001370280 NM_001370281 NM_001370282 NM_001370283 NM_001370284 NM_001370286 NM_001370287 NM_001370288 NM_001370289 NM_001370290 NM_001370291 NM_001370292 NM_001370293 NM_001370294 NM_004296 NP_001191345 NP_001191346 NP_001191347 NP_001191348 NP_001191349 NP_001191350 NP_001191351 NP_001191352 NP_001191353 NP_001357199 NP_001357200 NP_001357201 NP_001357202 NP_001357203 NP_001357204 NP_001357205 NP_001357206 NP_001357207 NP_001357208 NP_001357209 NP_001357210 NP_001357211 NP_001357212 NP_001357213 NP_001357215 NP_001357216 NP_001357217 NP_001357218 NP_001357219 NP_001357220 NP_001357221 NP_001357222 NP_001357223 NP_004287 NR_135235 XM_011537393 XM_011537397 XM_011537407 XM_017021820 XM_017021822 XM_017021825 XM_017021826 XM_017021827 XM_017021828 XM_017021830 XM_017021831 XM_017021832 XM_017021833 XM_017021834 XM_024449759 XM_024449760 XM_024449761 XM_024449763 XM_024449764 XM_024449768 XM_024449770 XM_024449774 XM_024449776 XP_011535695 XP_011535699 XP_011535709 XP_016877309 XP_016877311 XP_016877314 XP_016877315 XP_016877316 XP_016877317 XP_016877319 XP_016877320 XP_016877321 XP_016877322 XP_016877323 XP_024305527 XP_024305528 XP_024305529 XP_024305531 XP_024305532 XP_024305536 XP_024305538 XP_024305542 XP_024305544 XR_001750613 XR_002957573" upstream upstream 91539 NA NA NA 16 NA + 634421 NA 9628 71929 cg13062095 1.2641352685682062e-4 0.8467865495321077
GRM8 "NM_000845 NM_001127323 NM_001371083 NM_001371084 NM_001371085 NM_001371086 NM_001371087 NM_001371088 NP_000836 NP_001120795 NP_001358012 NP_001358013 NP_001358014 NP_001358015 NP_001358016 NP_001358017 NR_028041 NR_163849 NR_163850 XM_011516094 XM_011516095 XM_011516101 XM_011516102 XM_011516103 XM_011516108 XM_017012075 XM_017012076 XM_017012077 XM_017012078 XM_017012079 XM_017012080 XM_024446736 XP_011514396 XP_011514397 XP_011514403 XP_011514404 XP_011514405 XP_011514410 XP_016867564 XP_016867565 XP_016867566 XP_016867567 XP_016867568 XP_016867569 XP_024302504" "inside intron" inside 584818 "inside intron" -58771 8 12 "inside transcription region" - 814495 NA 2918 27885 cg16060721 1.2823040744399693e-4 0.8467865495321077
PIK3R1 "NM_001242466 NM_181504 NM_181523 NM_181524 NP_001229395 NP_852556 NP_852664 NP_852665 XM_005248542 XM_011543493 XM_017009585 XM_017009586 XP_005248599 XP_011541795 XP_016865074 XP_016865075" upstream upstream 56018 NA NA NA 16 NA + 86065 NA 5295 41247 cg13632087 1.2838177945093818e-4 0.8467865495321077
FOXJ2 "NM_018416 NP_060886 XM_011520760 XM_011520761 XM_017019640 XP_011519062 XP_011519063 XP_016875129" upstream upstream 38636 NA NA NA 11 NA + 22759 NA 55810 46075 cg17710334 1.2901136379484058e-4 0.8467865495321077
DOCK2 "NM_004946 NP_004937 NR_156756 XM_005265830 XM_011534448 XM_011534449 XM_011534450 XM_011534451 XM_017009189 XM_017009190 XP_005265887 XP_011532750 XP_011532751 XP_011532752 XP_011532753 XP_016864678 XP_016864679" "inside intron" inside 278973 "inside intron" 140 14 38 "inside transcription region" + 379433 NA 1794 15643 cg13485269 1.2939318211637499e-4 0.8467865495321077
UBQLN4 "NM_001304342 NM_020131 NP_001291271 NP_064516 XM_005245348 XM_024448469 XP_005245405 XP_024304237 XR_921895" "inside exon" inside 12176 "inside exon" -0 10 11 "inside transcription region" - 18424 NA 56893 47291 cg25971920 1.322349105095998e-4 0.8584605759940492
RPL5 "NM_000969 NP_000960 NR_146333" "inside exon" inside 4360 "inside exon" 0 3 3 "inside transcription region" + 4781 NA 6125 51077 cg15413009 1.3672633587118963e-4 0.8805740297522494
PCGF2 "NM_001369614 NM_001369615 NM_007144 NP_001356543 NP_001356544 NP_009075 XM_005257640 XM_017025016 XP_005257697 XP_016880505" "inside intron" inside 3925 "inside intron" 3495 2 11 "5' UTR" - 14411 NA 7703 59109 cg18826743 1.3784096863727214e-4 0.8807625458377735
NUBP1 "NM_001278506 NM_001323594 NM_001323595 NM_001323596 NM_001323597 NM_002484 NP_001265435 NP_001310523 NP_001310524 NP_001310525 NP_001310526 NP_002475 XM_017023252 XP_016878741" upstream upstream 2582 NA NA NA 10 NA + 25510 NA 4682 37120 cg06765686 1.4118338859664395e-4 0.8911761206990809
C3orf22 "NM_152533 NP_689746 NR_130715 XM_011512455 XM_011512457 XM_017005751 XM_017005752 XM_017005753 XP_011510757 XP_011510759 XP_016861240 XP_016861241 XP_016861242" "inside intron" inside 7739 "inside intron" 820 3 4 "inside transcription region" - 9239 NA 152065 13273 cg12563471 1.4341461511242252e-4 0.8911761206990809
CPA5 "NM_001127441 NM_001127442 NM_001318223 NM_080385 NP_001120913 NP_001120914 NP_001305152 NP_525124 XM_005250710 XM_005250712 XM_011516698 XM_011516701 XM_011516702 XM_011516703 XM_011516704 XM_011516705 XM_024446999 XM_024447000 XM_024447001 XP_005250767 XP_005250769 XP_011515000 XP_011515003 XP_011515004 XP_011515005 XP_011515006 XP_011515007 XP_024302767 XP_024302768 XP_024302769" promoter promoter 275 NA NA NA 12 NA + 23941 NA 93979 71006 cg02855426 1.4376441011364584e-4 0.8911761206990809
ITPKB "NM_002221 NP_002212 XM_005273120 XM_017001211 XP_005273177 XP_016856700" "inside intron" inside 58911 "inside intron" -31487 3 8 "inside transcription region" - 107485 NA 3707 31806 cg22444124 1.4386349072027771e-4 0.8911761206990809
ZC3H12D "NM_207360 NP_997243" upstream upstream 7202 NA NA NA 6 NA - 37382 NA 340152 30478 cg27158084 1.4509332007428568e-4 0.8919853673766837
OR2H1 "NM_001318014 NM_001318022 NM_030883 NP_001304943 NP_001304951 NP_112145 XM_011514470 XM_011514472 XM_011514473 XM_011514479 XM_011514483 XM_011514484 XM_017010737 XM_017010738 XM_017010739 XM_024446402 XP_011512772 XP_011512774 XP_011512775 XP_011512781 XP_011512785 XP_011512786 XP_016866226 XP_016866227 XP_016866228 XP_024302170" upstream upstream 7302 NA NA NA 3 NA + 5869 NA 26716 24594 cg05317204 1.4636203378421732e-4 0.8930196956362563
ATP2B1-AS1 NR_028138 downstream downstream 209485 NA NA NA 1 NA + 2997 NA 338758 30232 cg25743234 1.4877217948882536e-4 0.9009509961025811
CFAP126 "NM_001013625 NP_001013647" upstream upstream 14825 NA NA NA 5 NA - 3152 NA 257177 22673 cg06028934 1.5000320719635673e-4 0.9016770564013772
TFG "NM_001007565 NM_001195478 NM_001195479 NM_006070 NP_001007566 NP_001182407 NP_001182408 NP_006061 XM_005247066 XM_006713472 XM_011512334 XM_017005527 XP_005247123 XP_006713535 XP_011510636 XP_016861016" promoter promoter 890 NA NA NA 8 NA + 39677 NA 10342 4515 cg00391025 1.5454901211178925e-4 0.9221712274751476
ZNF354A "NM_001324339 NM_005649 NP_001311268 NP_005640 XM_011534645 XM_017009791 XP_011532947 XP_016865280" promoter promoter 2474 NA NA NA 5 NA - 19181 NA 6940 56280 cg09010827 1.5829774431253127e-4 0.9376449133406177
CACNA1D "NM_000720 NM_001128839 NM_001128840 NP_000711 NP_001122311 NP_001122312 XM_005265448 XM_011534094 XM_011534096 XM_011534097 XM_011534099 XM_011534100 XM_017007137 XM_017007138 XM_017007139 XM_017007140 XM_017007141 XM_017007142 XM_017007143 XM_017007144 XM_017007145 XP_005265505 XP_011532396 XP_011532398 XP_011532399 XP_011532401 XP_011532402 XP_016862626 XP_016862627 XP_016862628 XP_016862629 XP_016862630 XP_016862631 XP_016862632 XP_016862633 XP_016862634" "inside intron" inside 169876 "inside intron" 729 6 46 "inside transcription region" + 317416 NA 776 59329 cg06046629 1.6248072348024018e-4 0.9505204061705395
DUSP4 "NM_001394 NM_057158 NP_001385 NP_476499 XM_011544428 XP_011542730" downstream downstream 30652 NA NA NA 4 NA - 17688 NA 1846 15835 cg18148755 1.6281409608191454e-4 0.9505204061705395
MTMR9 "NM_015458 NP_056273 XM_011543830 XM_011543831 XM_017013753 XP_011542132 XP_011542133 XP_016869242" upstream upstream 28347 NA NA NA 11 NA + 43654 NA 66036 54832 cg03877142 1.6510241125871033e-4 0.9554635637754944
CFAP46 "NM_001200049 NM_017609 NM_173572 NP_001186978" "inside intron" inside 99032 "inside intron" 2503 44 58 "inside transcription region" - 134193 NA 54777 42767 cg14658518 1.660156384688262e-4 0.9554635637754944
SNAPC1 "NM_003082 NP_003073" downstream downstream 101895 NA NA NA 10 NA + 34071 NA 6617 54906 cg05295427 1.7057101142115585e-4 0.9618851743388097
CYTH2 "NM_004228 NM_017457 NP_004219 NP_059431 XM_006723472 XM_006723473 XP_006723535 XP_006723536 XR_001753791 XR_001753792" "inside intron" inside 2748 "inside intron" 363 4 12 "inside transcription region" + 13106 NA 9266 70316 cg13346967 1.707928906304793e-4 0.9618851743388097
CCDC142 "NM_001365575 NM_032779 NP_001352504 NP_116168" "inside exon" inside 9704 "inside exon" -0 9 9 3'UTR - 10398 NA 84865 66199 cg00402980 1.7134911656364174e-4 0.9618851743388097
FRMD4A "NM_001318336 NM_001318337 NM_001318338 NM_018027 NP_001305265 NP_001305266 NP_001305267 NP_060497 NR_134578 XM_005252489 XM_005252490 XM_005252495 XM_006717457 XM_006717458 XM_006717459 XM_006717460 XM_006717464 XM_011519539 XM_011519540 XM_011519541 XM_011519543 XM_017016393 XM_017016394 XM_017016395 XM_017016396 XM_024448067 XM_024448068 XM_024448069 XM_024448070 XM_024448071 XM_024448072 XM_024448073 XM_024448074 XP_005252546 XP_005252547 XP_005252552 XP_006717520 XP_006717521 XP_006717522 XP_006717523 XP_006717527 XP_011517841 XP_011517842 XP_011517843 XP_011517845 XP_016871882 XP_016871883 XP_016871884 XP_016871885 XP_024303835 XP_024303836 XP_024303837 XP_024303838 XP_024303839 XP_024303840 XP_024303841 XP_024303842" promoter promoter 144 NA NA NA 4 NA - 135969 NA 55691 45577 cg25839342 1.728362945794731e-4 0.9618851743388097
SLCO5A1 "NM_001146008 NM_001146009 NM_030958 NP_001139480 NP_001139481 NP_112220 XM_005251313 XM_017013883 XM_017013884 XM_017013885 XM_017013886 XP_005251370 XP_016869372 XP_016869373 XP_016869374 XP_016869375 XR_428341 XR_928814" "inside intron" inside 144827 "inside intron" -7888 7 10 "inside transcription region" - 162731 NA 81796 63565 cg01585069 1.7305806521008982e-4 0.9618851743388097
OAF "NM_178507 NP_848602" "inside exon" inside 18121 "inside exon" 0 4 4 3'UTR + 18903 NA 220323 17863 cg03641062 1.7714880441649987e-4 0.971344274771506
OR4N3P NR_028067 downstream downstream 27311 NA NA NA 1 NA + 933 NA 390539 33324 cg21932343 1.7715387541242906e-4 0.971344274771506
C9orf72 "NM_001256054 NM_018325 NM_145005 NP_001242983 NP_060795 NP_659442" upstream upstream 36962 NA NA NA 5 NA - 13365 NA 203228 16911 cg13615109 1.8430560773319865e-4 0.9999910461654503
IQSEC1 "NM_001134382 NM_001330619 NM_014869 NP_001127854 NP_001317548 NP_055684 XM_011534305 XM_011534306 XM_011534307 XM_011534308 XM_011534311 XM_011534312 XM_011534313 XM_011534314 XM_024453845 XM_024453846 XP_011532607 XP_011532608 XP_011532609 XP_011532610 XP_011532613 XP_011532614 XP_011532615 XP_011532616 XP_024309613 XP_024309614" downstream downstream 202420 NA NA NA 15 NA - 176075 NA 9922 73162 cg18210493 1.883831434142829e-4 0.9999910461654503
NEBL "NM_001173484 NM_006393 NM_016365 NM_213569 NP_001166955 NP_006384 NP_998734 XM_005252342 XM_005252343 XM_005252344 XM_011519291 XM_017015468 XP_005252399 XP_005252400 XP_005252401 XP_011517593 XP_016870957 XR_001746995 XR_001746996 XR_242691" "inside intron" inside 219651 "inside intron" 7135 4 7 "inside transcription region" - 394213 NA 10529 5146 cg16075753 1.8939677507828683e-4 0.9999910461654503
MLX "NM_170607 NM_198204 NM_198205 NP_733752 NP_937847 NP_937848" "inside exon" inside 4545 "inside exon" 0 7 7 3'UTR + 6143 NA 6945 56305 cg16275894 1.9152315962727516e-4 0.9999910461654503
QRSL1 "NM_018292 NP_060762 XM_011535924 XP_011534226" "inside intron" inside 13265 "inside intron" 157 4 11 "inside transcription region" + 38851 NA 55278 44553 cg14377693 1.917143886299739e-4 0.9999910461654503
SMIM10L2A "NM_203306 NP_976051" upstream upstream 26256 NA NA NA 2 NA + 4357 NA 399668 33721 cg02144187 1.9222865968566134e-4 0.9999910461654503
KLC4 "NM_001289034 NM_001289035 NM_138343 NM_201521 NM_201522 NM_201523 NP_001275963 NP_001275964 NP_612352 NP_958929 NP_958930 NP_958931 XM_011514989 XM_017011457 XP_011513291 XP_016866946" "inside intron" inside 17347 "inside intron" 896 3 18 "inside transcription region" + 34318 NA 89953 68634 cg26296769 1.9401555575102153e-4 0.9999910461654503
BNC2 "NM_001317939 NM_001317940 NM_017637 NP_001304868 NP_001304869 NP_060107" "inside intron" inside 348933 "inside intron" 30674 5 6 "inside transcription region" - 435233 NA 54796 42819 cg16193818 1.9430635926706905e-4 0.9999910461654503
INO80 "NM_017553 NM_032196 NP_060023 NR_104038 XM_011521685 XM_011521686 XP_011519987 XP_011519988 XR_001751322" "inside intron" inside 123188 "inside intron" 4574 28 35 "inside transcription region" - 137261 NA 54617 42545 cg00470768 1.960506397325152e-4 0.9999910461654503
DLG2 "NM_001142699 NM_001142700 NM_001142702 NM_001206769 NM_001300983 NM_001351274 NM_001351275 NM_001351276 NM_001364 NP_001136171 NP_001136172 NP_001136174 NP_001193698 NP_001287912 NP_001338203 NP_001338204 NP_001338205 NP_001355 XM_005273810 XM_005273811 XM_011544778 XM_011544780 XM_011544782 XM_011544788 XM_017017254 XM_017017255 XM_017017256 XM_017017257 XM_017017258 XM_017017261 XM_017017262 XM_017017263 XM_017017264 XM_017017265 XM_017017266 XM_017017267 XM_017017268 XM_017017269 XM_017017270 XM_017017271 XM_017017273 XM_017017274 XM_017017275 XM_017017276 XM_017017277 XM_017017278 XM_017017279 XM_017017280 XM_017017281 XM_017017283 XM_017017284 XM_017017285 XM_017017286 XM_017017287 XM_017017288 XM_017017289 XM_017017290 XM_017017291 XM_017017292 XM_024448378 XM_024448379 XP_005273867 XP_005273868 XP_011543080 XP_011543082 XP_011543084 XP_011543090 XP_016872743 XP_016872744 XP_016872745 XP_016872746 XP_016872747 XP_016872750 XP_016872751 XP_016872752 XP_016872753 XP_016872754 XP_016872755 XP_016872756 XP_016872757 XP_016872758 XP_016872759 XP_016872760 XP_016872762 XP_016872763 XP_016872764 XP_016872765 XP_016872766 XP_016872767 XP_016872768 XP_016872769 XP_016872770 XP_016872772 XP_016872773 XP_016872774 XP_016872775 XP_016872776 XP_016872777 XP_016872778 XP_016872779 XP_016872780 XP_016872781 XP_024304146 XP_024304147" "inside intron" inside 143209 "inside intron" 114595 3 28 "inside transcription region" - 2172258 NA 1740 15250 cg13474244 1.9912588311343872e-4 0.9999910461654503
ANGPTL5 "NM_178127 NP_835228 XM_011542735 XM_017017466 XP_011541037 XP_016872955" downstream downstream 140995 NA NA NA 9 NA - 25848 NA 253935 22127 cg13491045 2.0162359278132663e-4 0.9999910461654503
S100A7A "NM_176823 NP_789793" promoter promoter 1306 NA NA NA 3 NA + 6701 NA 338324 30170 cg12067024 2.0179656871501626e-4 0.9999910461654503
ANKRD50 "NM_001167882 NM_020337 NP_001161354 NP_065070 XM_017008471 XP_016863960" downstream downstream 248921 NA NA NA 4 NA - 48683 NA 57182 48114 cg14567203 2.0226347663789687e-4 0.9999910461654503
PBX4 "NM_025245 NP_079521 NR_038198 XM_006722911 XM_011528320 XM_011528322 XM_017027326 XM_017027327 XM_017027329 XM_017027330 XP_006722974 XP_011526622 XP_011526624 XP_016882815 XP_016882816 XP_016882818 XP_016882819 XR_001753767" "inside intron" inside 14474 "inside intron" -5071 2 8 "inside transcription region" - 57209 NA 80714 62731 cg16134183 2.0524456976857974e-4 0.9999910461654503
LSP1P3 NR_033961 upstream upstream 639456 NA NA NA 1 NA + 443 NA 729862 57921 cg12821220 2.11539271182572e-4 0.9999910461654503
CEACAM21 "NM_001098506 NM_001288773 NM_001290113 NM_033543 NP_001091976 NP_001275702 NP_001277042 NP_291021 XM_005278396 XM_005278397 XM_011527450 XM_011527452 XM_017027430 XM_017027431 XM_017027432 XM_017027433 XM_017027434 XM_017027435 XM_017027436 XM_017027437 XM_024451755 XM_024451756 XM_024451757 XM_024451758 XM_024451759 XM_024451760 XM_024451761 XM_024451762 XM_024451763 XM_024451764 XM_024451765 XM_024451766 XM_024451767 XM_024451768 XM_024451769 XP_005278453 XP_005278454 XP_011525752 XP_011525754 XP_016882919 XP_016882920 XP_016882921 XP_016882922 XP_016882923 XP_016882924 XP_016882925 XP_016882926 XP_024307523 XP_024307524 XP_024307525 XP_024307526 XP_024307527 XP_024307528 XP_024307529 XP_024307530 XP_024307531 XP_024307532 XP_024307533 XP_024307534 XP_024307535 XP_024307536 XP_024307537" upstream upstream 11184 NA NA NA 7 NA + 36338 NA 90273 68853 cg06105068 2.123419631812555e-4 0.9999910461654503
